ID,Date,Close,Clo_by_High_min95,Close_by_Low_min95,1D_r,1D_r_cat,2D_r,2D_r_cat,3D_r,3D_r_cat,5D_r,5D_r_cat,macd_5_3_1,macd_5_3_2,RSI_3,RSI_3_Category,STOC_3_K,STOCK_3_K_CAT,STOCK_7_K-D,CCI_3,CCI_5,NEXTDRET
7851,3/6/2017,2375.31,4.85,5.31,-0.33,NP50,-0.28,NP50,-0.86,N1,0.24,PP25,1.01,-0.9,43.3,LOW,27.4,LOW,-9.99,-100,-41.16,TNEG
7852,3/7/2017,2368.38,4.72,5.12,-0.29,NP50,-0.62,N1,-0.57,N1,0.2,PP25,-1.06,-0.99,31.3,LOW,16.5,SLOW,-21.56,-87.95,-104.51,TNEG
7853,3/8/2017,2362.98,4.62,5.08,-0.23,NP25,-0.52,N1,-0.85,N1,-1.38,N15,-2.47,-0.8,23.6,SLOW,11.1,SLOW,-16.64,-99.62,-100.56,TNEG
7854,3/9/2017,2364.87,4.82,5.44,0.08,PP10,-0.15,NP25,-0.44,NP50,-0.72,N1,-2.21,-0.18,32.3,LOW,50.2,HIGH,4.17,-84.04,-93.96,TNEG
7855,3/10/2017,2372.6,4.82,5.4,0.33,PP50,0.41,PP50,0.18,PP25,-0.44,NP50,-0.47,0.52,60.1,HIGH,80.9,HIGH,19.34,100,42.86,TNEG
7856,3/13/2017,2373.47,4.96,5.21,0.04,PP10,0.36,PP50,0.44,PP50,-0.08,NP10,0.33,0.44,62.7,HIGH,84.8,HIGH,22.13,61.29,81.28,TNEG
7857,3/14/2017,2365.45,4.87,5.31,-0.34,NP50,-0.3,NP50,0.02,PP10,-0.12,NP25,-0.79,-0.23,33.1,LOW,38.9,LOW,-7.25,-100,-55.99,TNEG
7858,3/15/2017,2385.26,4.8,5.69,0.84,P10,0.5,PP50,0.53,P10,0.94,P10,2.27,0.94,75.7,HIGH,85.1,HIGH,20.49,100,136.5,TNEG
7859,3/16/2017,2381.38,4.72,5.18,-0.16,NP25,0.67,P10,0.33,PP50,0.7,P10,2.26,0.31,63.8,HIGH,72.9,HIGH,6.59,53.45,87.76,TNEG
7860,3/17/2017,2378.25,4.69,5.03,-0.13,NP25,-0.29,NP50,0.54,P10,0.24,PP25,1.36,-0.2,53.5,HIGH,44.2,LOW,-9.53,-100,46.65,TNEG
7861,3/20/2017,2373.47,4.74,5.16,-0.2,NP25,-0.33,NP50,-0.49,NP50,0,PP10,0.04,-0.51,39.2,LOW,20.7,SLOW,-15.48,-100,-25.66,TNEG
7862,3/21/2017,2344.02,3.41,5.09,-1.24,N15,-1.44,N15,-1.57,N25,-0.91,N1,-5.32,-1.95,11.3,SLOW,4.8,SLOW,-35.36,-100,-161.21,TNEG
7863,3/22/2017,2348.45,4.86,5.51,0.19,PP25,-1.05,N15,-1.25,N15,-1.54,N25,-5.48,-0.7,23.5,SLOW,26.4,LOW,-2.54,-83.17,-108.86,TNEG
7864,3/23/2017,2345.96,4.45,5.16,-0.11,NP25,0.08,PP10,-1.16,N15,-1.49,N15,-5.03,-0.09,21.1,SLOW,20.9,SLOW,2.9,-20.28,-61.53,TNEG
7865,3/24/2017,2343.98,4.48,5.35,-0.08,NP10,-0.19,NP25,0,NP10,-1.44,N15,-4.38,0.19,18.7,SLOW,35.5,LOW,-2.9,-55.4,-65.45,TNEG
7866,3/27/2017,2341.59,4.86,5.83,-0.1,NP25,-0.19,NP25,-0.29,NP50,-1.34,N15,-3.83,0.25,15.6,SLOW,52.7,HIGH,9.15,-100,-139.85,TPOS
7867,3/28/2017,2358.57,4.78,5.9,0.73,P10,0.62,P10,0.54,P10,0.62,P10,-0.18,1.3,69.7,HIGH,87.5,HIGH,25.17,95.97,117.5,TPOS
7868,3/29/2017,2361.13,4.91,5.35,0.11,PP25,0.83,P10,0.73,P10,0.54,P10,1.5,0.99,73.5,HIGH,93.6,SHIGH,12.99,71.83,112.19,TPOS
7869,3/30/2017,2368.06,4.9,5.4,0.29,PP50,0.4,PP50,1.13,P15,0.94,P10,2.96,0.82,82.5,HIGH,92.8,SHIGH,21.4,100,102.59,TNEG
7870,3/31/2017,2362.6,4.67,5,-0.23,NP25,0.06,PP10,0.17,PP25,0.79,P10,2.04,-0.03,58.9,HIGH,55.3,HIGH,2.43,44,69.37,TNEG
7871,4/3/2017,2358.84,4.7,5.6,-0.16,NP25,-0.39,NP50,-0.1,NP10,0.74,P10,0.78,-0.44,45.3,LOW,54.9,HIGH,-9.07,-100,-53.07,TNEG
7872,4/4/2017,2360.159912,4.98,5.40,0.06,PP10,-0.11,NP25,-0.33,NP50,0.07,PP10,0.44,-0.26,51.2,HIGH,60.2,HIGH,-0.86,-44.15,-63.50,TNEG
7873,4/5/2017,2352.949951,3.93,5.10,-0.31,NP50,-0.25,NP25,-0.41,NP50,-0.35,NP50,-0.95,-0.55,27.3,LOW,24.4,SLOW,-26.48,100.00,-7.85,TPOS
7874,4/6/2017,2357.48999,4.72,5.37,0.19,PP25,-0.11,NP25,-0.06,NP10,-0.45,NP50,-0.50,-0.03,49.5,LOW,29.2,LOW,-13.48,-55.95,-54.92,TNEG
7875,4/7/2017,2355.540039,4.65,5.20,-0.08,NP10,0.11,PP25,-0.20,NP25,-0.30,NP50,-0.59,-0.04,41.4,LOW,22.5,SLOW,-3.76,-53.31,-47.48,TNEG
